transaction_id,amount,txn_date,duplicate_flag,settled_amount,settlement_date,status
TXN57,3888.77,2026-02-11 14:36:00,False,3888.77,2026-02-13 14:36:00,Matched
TXN58,2417.18,2026-04-03 16:03:37,False,2417.18,2026-04-04 16:03:37,Matched
TXN59,2720.92,2026-05-12 04:45:41,False,2720.92,2026-05-13 04:45:41,Matched
TXN60,2892.31,2026-01-23 17:52:28,False,2892.31,2026-01-24 17:52:28,Matched
TXN61,418.92,2026-03-08 21:27:45,False,418.92,2026-03-09 21:27:45,Matched
TXN62,496.9,2026-03-22 02:23:07,False,496.9,2026-03-23 02:23:07,Matched
TXN63,283.01,2026-03-20 06:38:09,False,283.01,2026-03-22 06:38:09,Matched
TXN64,3555.46,2026-02-23 12:18:15,False,3555.46,2026-02-24 12:18:15,Matched
TXN65,2568.04,2026-04-28 00:30:58,False,2568.04,2026-04-30 00:30:58,Matched
TXN66,4295.44,2026-01-18 02:43:59,False,4295.44,2026-01-19 02:43:59,Matched
TXN67,4709.46,2026-01-14 07:27:48,False,4709.46,2026-01-15 07:27:48,Matched
TXN68,2585.5,2026-04-03 23:26:10,False,2585.5,2026-04-05 23:26:10,Matched
TXN69,2453.47,2026-04-28 15:34:00,False,2453.47,2026-04-30 15:34:00,Matched
TXN70,4333.68,2026-05-03 16:59:17,False,4333.68,2026-05-05 16:59:17,Matched
TXN71,1608.41,2026-02-12 05:27:35,False,1608.41,2026-02-14 05:27:35,Matched
TXN72,2162.54,2026-01-30 23:12:27,False,2162.54,2026-02-01 23:12:27,Matched
TXN73,4583.4,2026-03-07 23:14:32,False,4583.4,2026-03-08 23:14:32,Matched
TXN74,1203.75,2026-02-05 20:51:05,False,1203.75,2026-02-07 20:51:05,Matched
TXN75,4554.06,2026-05-18 15:46:43,False,4554.06,2026-05-19 15:46:43,Matched
TXN76,2033.65,2026-04-09 12:08:33,False,2033.65,2026-04-11 12:08:33,Matched
TXN77,4505.14,2026-03-27 07:10:17,False,4505.14,2026-03-29 07:10:17,Matched
TXN78,3707.8,2026-03-12 21:41:21,False,3707.8,2026-03-14 21:41:21,Matched
TXN79,4344.91,2026-01-14 09:27:29,False,4344.91,2026-01-15 09:27:29,Matched
TXN80,1368.42,2026-03-13 01:43:57,False,1368.42,2026-03-14 01:43:57,Matched
TXN81,2072.28,2026-02-26 04:40:00,False,2072.28,2026-02-27 04:40:00,Matched
TXN82,1139.11,2026-03-12 03:04:46,False,1139.11,2026-03-13 03:04:46,Matched
TXN83,2537.49,2026-02-21 14:31:37,False,2537.49,2026-02-23 14:31:37,Matched
TXN84,1687.08,2026-03-04 09:28:37,False,1687.08,2026-03-05 09:28:37,Matched
TXN85,578.73,2026-04-08 07:23:00,False,578.73,2026-04-10 07:23:00,Matched
TXN86,4352.53,2026-02-22 15:51:33,False,4352.53,2026-02-24 15:51:33,Matched
TXN87,644.84,2026-05-01 10:13:13,False,644.84,2026-05-02 10:13:13,Matched
TXN88,4441.04,2026-02-19 12:53:09,False,4441.04,2026-02-21 12:53:09,Matched
TXN89,1447.21,2026-04-02 21:09:02,False,1447.21,2026-04-03 21:09:02,Matched
TXN90,3675.68,2026-03-21 16:50:12,False,3675.68,2026-03-23 16:50:12,Matched
TXN91,4155.58,2026-04-24 10:30:07,False,4155.58,2026-04-26 10:30:07,Matched
TXN92,2478.84,2026-02-05 06:55:57,False,2478.84,2026-02-07 06:55:57,Matched
TXN93,1683.69,2026-01-28 11:23:34,False,1683.69,2026-01-29 11:23:34,Matched
TXN94,4877.22,2026-04-04 03:42:38,False,4877.22,2026-04-05 03:42:38,Matched
TXN95,1165.53,2026-03-06 00:30:28,False,1165.53,2026-03-07 00:30:28,Matched
TXN96,3425.03,2026-03-31 21:56:13,False,3425.03,2026-04-01 21:56:13,Matched
TXN97,4354.11,2026-02-11 04:06:08,False,4354.11,2026-02-12 04:06:08,Matched
TXN98,2665.22,2026-04-05 12:10:44,False,2665.22,2026-04-07 12:10:44,Matched
TXN99,1201.23,2026-02-17 15:28:20,False,1201.23,2026-02-18 15:28:20,Matched
TXN100,3372.89,2026-01-17 17:13:56,False,3372.89,2026-01-18 17:13:56,Matched
TXN6,712.79,2026-03-11 10:18:01,True,712.79,2026-03-13 10:18:01,Duplicate
TXN200,5000.0,2026-02-17 01:53:13,False,9999.0,2026-04-19 18:18:12,Amount Mismatch
TXN300,2500.0,2026-05-12 20:17:38,False,,,Missing Settlement
